"","id","gender","time","performance","feedback","activity"
"385",11,1,1,99.9642678,"positive","emg_bi"
"386",11,1,2,102.241597,"positive","emg_bi"
"387",11,1,3,99.4592534,"positive","emg_bi"
"388",11,1,4,101.75564,"positive","emg_bi"
"389",11,1,5,97.7726959,"positive","emg_bi"
"390",11,1,6,97.8060459,"positive","emg_bi"
"391",11,1,7,97.04376,"positive","emg_bi"
"392",11,1,8,98.3634674,"positive","emg_bi"
"393",11,1,9,95.3238524,"positive","emg_bi"
"394",11,1,10,100.388289,"positive","emg_bi"
"395",11,1,11,96.1718955,"positive","emg_bi"
"396",11,1,12,95.0379952,"positive","emg_bi"
"397",12,2,1,101.988399,"positive","emg_bi"
"398",12,2,2,95.728769,"positive","emg_bi"
"399",12,2,3,81.7874003,"positive","emg_bi"
"400",12,2,4,85.2734785,"positive","emg_bi"
"401",12,2,5,95.8671522,"positive","emg_bi"
"402",12,2,6,82.89741,"positive","emg_bi"
"403",12,2,7,90.858859,"positive","emg_bi"
"404",12,2,8,88.7153919,"positive","emg_bi"
"405",12,2,9,69.9423894,"positive","emg_bi"
"406",12,2,10,75.9429194,"positive","emg_bi"
"407",12,2,11,73.1340354,"positive","emg_bi"
"408",12,2,12,66.5181419,"positive","emg_bi"
"409",13,2,1,95.2949546,"positive","emg_bi"
"410",13,2,2,130.547226,"positive","emg_bi"
"411",13,2,3,145.661003,"positive","emg_bi"
"412",13,2,4,153.073813,"positive","emg_bi"
"413",13,2,5,159.915714,"positive","emg_bi"
"414",13,2,6,162.483904,"positive","emg_bi"
"415",13,2,7,168.245221,"positive","emg_bi"
"416",13,2,8,141.248616,"positive","emg_bi"
"417",13,2,9,103.015732,"positive","emg_bi"
"418",13,2,10,159.38983,"positive","emg_bi"
"419",13,2,11,116.632898,"positive","emg_bi"
"420",13,2,12,87.7776877,"positive","emg_bi"
"421",14,2,1,67.3587412,"positive","emg_bi"
"422",14,2,2,58.1290541,"positive","emg_bi"
"423",14,2,3,68.1142053,"positive","emg_bi"
"424",14,2,4,59.4602339,"positive","emg_bi"
"425",14,2,5,61.6771303,"positive","emg_bi"
"426",14,2,6,57.9362805,"positive","emg_bi"
"427",14,2,7,58.9782999,"positive","emg_bi"
"428",14,2,8,54.851903,"positive","emg_bi"
"429",14,2,9,59.5618308,"positive","emg_bi"
"430",14,2,10,60.05158,"positive","emg_bi"
"431",14,2,11,62.2919217,"positive","emg_bi"
"432",14,2,12,59.8588064,"positive","emg_bi"
"433",15,2,1,93.9937485,"positive","emg_bi"
"434",15,2,2,90.4736716,"positive","emg_bi"
"435",15,2,3,85.6119259,"positive","emg_bi"
"436",15,2,4,86.2899736,"positive","emg_bi"
"437",15,2,5,82.5438807,"positive","emg_bi"
"438",15,2,6,88.7617216,"positive","emg_bi"
"439",15,2,7,87.5066122,"positive","emg_bi"
"440",15,2,8,88.68478,"positive","emg_bi"
"441",15,2,9,87.3911998,"positive","emg_bi"
"442",15,2,10,87.5691272,"positive","emg_bi"
"443",15,2,11,86.2370762,"positive","emg_bi"
"444",15,2,12,87.8047608,"positive","emg_bi"
"445",16,2,1,96.9274251,"positive","emg_bi"
"446",16,2,2,94.3242484,"positive","emg_bi"
"447",16,2,3,91.1905195,"positive","emg_bi"
"448",16,2,4,90.2137084,"positive","emg_bi"
"449",16,2,5,88.3443796,"positive","emg_bi"
"450",16,2,6,86.8122242,"positive","emg_bi"
"451",16,2,7,87.4121944,"positive","emg_bi"
"452",16,2,8,88.0220815,"positive","emg_bi"
"453",16,2,9,85.5874915,"positive","emg_bi"
"454",16,2,10,84.8189346,"positive","emg_bi"
"455",16,2,11,86.3709238,"positive","emg_bi"
"456",16,2,12,85.1660248,"positive","emg_bi"
"457",17,2,1,95.1205692,"positive","emg_bi"
"458",17,2,2,92.6902978,"positive","emg_bi"
"459",17,2,3,93.0344813,"positive","emg_bi"
"460",17,2,4,93.2653361,"positive","emg_bi"
"461",17,2,5,99.3976789,"positive","emg_bi"
"462",17,2,6,91.1330773,"positive","emg_bi"
"463",17,2,7,92.7112846,"positive","emg_bi"
"464",17,2,8,88.9924238,"positive","emg_bi"
"465",17,2,9,88.0606099,"positive","emg_bi"
"466",17,2,10,92.505614,"positive","emg_bi"
"467",17,2,11,95.049214,"positive","emg_bi"
"468",17,2,12,94.2852945,"positive","emg_bi"
"469",18,2,1,98.3191915,"positive","emg_bi"
"470",18,2,2,96.2600659,"positive","emg_bi"
"471",18,2,3,97.7463114,"positive","emg_bi"
"472",18,2,4,95.8493217,"positive","emg_bi"
"473",18,2,5,95.1143058,"positive","emg_bi"
"474",18,2,6,94.2603902,"positive","emg_bi"
"475",18,2,7,93.6388694,"positive","emg_bi"
"476",18,2,8,93.3362157,"positive","emg_bi"
"477",18,2,9,90.6069286,"positive","emg_bi"
"478",18,2,10,92.5957953,"positive","emg_bi"
"479",18,2,11,91.1365724,"positive","emg_bi"
"480",18,2,12,89.4125277,"positive","emg_bi"
"481",19,2,1,58.2102416,"positive","emg_bi"
"482",19,2,2,75.6167235,"positive","emg_bi"
"483",19,2,3,65.9166427,"positive","emg_bi"
"484",19,2,4,75.8785362,"positive","emg_bi"
"485",19,2,5,93.1516725,"positive","emg_bi"
"486",19,2,6,75.1288737,"positive","emg_bi"
"487",19,2,7,101.928091,"positive","emg_bi"
"488",19,2,8,79.1568871,"positive","emg_bi"
"489",19,2,9,115.288672,"positive","emg_bi"
"490",19,2,10,70.7089542,"positive","emg_bi"
"491",19,2,11,72.5058677,"positive","emg_bi"
"492",19,2,12,59.094876,"positive","emg_bi"
"493",20,2,1,90.2876789,"positive","emg_bi"
"494",20,2,2,84.2256939,"positive","emg_bi"
"495",20,2,3,91.5819809,"positive","emg_bi"
"496",20,2,4,110.495981,"positive","emg_bi"
"497",20,2,5,96.2687699,"positive","emg_bi"
"498",20,2,6,95.732848,"positive","emg_bi"
"499",20,2,7,95.3587138,"positive","emg_bi"
"500",20,2,8,91.0106679,"positive","emg_bi"
"501",20,2,9,92.5982102,"positive","emg_bi"
"502",20,2,10,86.2985995,"positive","emg_bi"
"503",20,2,11,88.4321755,"positive","emg_bi"
"504",20,2,12,86.7081248,"positive","emg_bi"
"505",21,2,1,98.6998561,"positive","emg_bi"
"506",21,2,2,96.0490773,"positive","emg_bi"
"507",21,2,3,92.8580445,"positive","emg_bi"
"508",21,2,4,91.8633713,"positive","emg_bi"
