,Child utterance,Child gaze,Child affect,Child gesture,Parent utterance,Verbal scaffolding,Non-verbal scaffolding,Parent gesture,Child prop manipulation,Parent prop manipulation,robot pointing,robot text,start-end,Conversational turns,time
359,0,1,0,0,0,0,0,0,0,0,0,1,0,0,183.55
360,0,1,0,0,0,0,0,0,0,0,0,1,0,0,184.05
361,0,1,0,0,0,0,0,0,0,0,0,1,0,0,184.55
362,0,1,0,0,0,0,0,0,0,0,0,1,0,0,185.05
363,0,1,0,0,0,0,0,0,0,0,0,1,0,0,185.55
364,0,1,0,0,0,0,0,0,0,0,0,0,0,0,186.05
365,0,1,0,0,0,0,0,0,0,0,0,0,0,0,186.55
366,0,1,0,0,0,0,0,0,0,0,0,1,0,0,187.05
367,0,1,0,0,0,0,0,0,0,0,0,1,0,0,187.55
368,0,1,0,0,0,0,0,0,0,0,0,1,0,0,188.05
369,1,1,1,0,0,0,0,0,0,0,0,1,0,1,188.55
370,1,1,1,0,0,0,0,0,0,0,0,1,0,1,189.05
371,0,1,1,0,1,1,0,0,0,0,0,1,0,1,189.55
372,0,1,1,0,1,1,0,0,0,0,0,1,0,1,190.05
373,0,1,0,0,1,1,0,0,0,0,0,0,0,1,190.55
374,0,1,0,0,1,1,0,0,0,0,0,0,0,1,191.05
375,0,1,0,0,1,1,0,0,1,0,0,0,0,1,191.55
376,0,1,0,0,1,1,0,0,1,0,0,0,0,1,192.05
377,0,1,0,0,1,1,0,0,0,0,0,1,0,1,192.55
378,0,1,0,0,0,0,0,0,0,0,0,1,0,0,193.05
379,0,1,0,0,0,0,0,0,0,0,0,1,0,0,193.55
380,0,1,0,0,0,0,0,0,0,0,0,1,0,0,194.05
381,0,1,0,0,0,0,0,0,0,0,0,1,0,0,194.55
382,0,1,0,0,0,0,0,0,0,0,0,1,0,0,195.05
383,0,1,0,0,0,0,0,0,0,0,0,1,0,0,195.55
384,0,1,0,0,0,0,0,0,0,0,0,0,0,0,196.05
385,0,1,0,0,1,0,0,0,0,0,0,0,0,0,196.55
386,0,1,0,0,1,0,0,0,0,0,0,0,0,0,197.05
387,0,1,0,0,0,0,0,0,0,0,0,0,0,0,197.55
388,0,1,0,0,0,0,0,0,0,0,0,1,0,0,198.05
389,0,0,0,0,0,0,0,0,0,0,0,1,0,0,198.55
390,0,0,0,0,0,0,0,0,0,0,0,1,0,0,199.05
391,0,0,0,0,0,0,0,0,0,0,0,1,0,0,199.55
392,0,1,0,0,0,0,0,0,0,0,0,1,0,0,200.05
393,0,1,0,0,0,0,0,0,0,0,0,1,0,0,200.55
394,0,1,0,0,1,1,0,0,0,0,0,1,0,0,201.05
395,0,1,0,0,0,0,0,0,0,0,0,1,0,0,201.55
