,Child utterance,Child gaze,Child affect,Child gesture,Parent utterance,Verbal scaffolding,Non-verbal scaffolding,Parent gaze,Parent affect,Parent gesture,Parent affective touch,Child prop manipulation,robot pointing,robot text,start-end,Conversational turns,Joint attention,Mutual gaze,time
432,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,223.92
433,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,224.42
434,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,224.92
435,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,225.42
436,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,225.92
437,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,226.42
438,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,226.92
439,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,227.42
440,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,227.92
441,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,228.42
442,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,228.92
443,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,229.42
444,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,229.92
445,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,230.42
446,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,230.92
447,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,231.42
448,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,231.92
449,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,232.42
450,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,232.92
451,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,233.42
452,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,1,0,0,233.92
453,0,1,0,0,1,1,1,1,0,1,0,0,1,1,0,1,1,0,234.42
454,0,1,0,0,1,1,1,1,0,1,0,0,1,1,0,1,1,0,234.92
455,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,1,1,0,235.42
456,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,235.92
457,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,236.42
458,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,236.92
